Date,Equity,Peak,Drawdown
2015-11-24,203852.7737168652,224998.2020595636,0.09398043250630328
2015-11-25,204175.12879252716,224998.2020595636,0.09254773183264799
2015-11-27,204936.26116766434,224998.2020595636,0.08916489424474723
2015-11-30,203936.16507624637,224998.2020595636,0.09360980128072977
2015-12-01,205716.58079668222,224998.2020595636,0.08569677929149395
2015-12-02,203858.48643523589,224998.2020595636,0.0939550424439899
2015-12-03,200609.4062421224,224998.2020595636,0.10839551424941948
2015-12-04,204163.19937865902,224998.2020595636,0.09260075187351474
2015-12-07,202434.17605608795,224998.2020595636,0.10028536138036469
2015-12-08,201620.76933751,224998.2020595636,0.10390053124008927
2015-12-09,199321.29816887953,224998.2020595636,0.11412048476674781
2015-12-10,200015.30153537373,224998.2020595636,0.11103600071246865
2015-12-11,195703.75998123956,224998.2020595636,0.13019856074480515
2015-12-14,196086.90549475997,224998.2020595636,0.12849567818835267
2015-12-15,198096.1846277336,224998.2020595636,0.11956547734860676
2015-12-16,201050.86403162748,224998.2020595636,0.10643346395095439
2015-12-17,198330.0019385878,224998.2020595636,0.11852628099630741
2015-12-18,194867.20549258945,224998.2020595636,0.1339166104047249
2015-12-21,196618.41113634646,224998.2020595636,0.12613341201590658
2015-12-22,198241.65223837388,224998.2020595636,0.118918949468345
2015-12-23,200378.18781197642,224998.2020595636,0.10942315992849377
2015-12-24,200377.47850113758,224998.2020595636,0.1094263124463021
2015-12-28,199885.54163409007,224998.2020595636,0.11161271599328369
2015-12-29,202368.76084260293,224998.2020595636,0.10057609798575187
2015-12-30,200606.71043324657,224998.2020595636,0.10840749571794307
2015-12-31,198195.94769326953,224998.2020595636,0.11912208240312397
2016-01-04,196257.18703742177,224998.2020595636,0.12773886528450235
2016-01-05,197384.51726946674,224998.2020595636,0.12272846866032604
2016-01-06,196963.61246169504,224998.2020595636,0.1245991716433671
2016-01-07,193772.9957461495,224998.2020595636,0.13877980369437737
2016-01-08,192551.2067043024,224998.2020595636,0.14421002060572702
2016-01-11,192899.6375133863,224998.2020595636,0.1426614268574461
2016-01-12,193490.96748308896,224998.2020595636,0.14003327265759108
2016-01-13,190639.67191118418,224998.2020595636,0.1527057986858211
2016-01-14,191660.41997901798,224998.2020595636,0.14816910435453226
2016-01-15,189593.91008103415,224998.2020595636,0.15735366618243865
2016-01-19,189971.8222496629,224998.2020595636,0.15567404312247884
2016-01-20,188419.79455084304,224998.2020595636,0.1625719991266294
2016-01-21,188653.97327773517,224998.2020595636,0.1615311964679924
2016-01-22,191978.5734593785,224998.2020595636,0.1467550775869926
2016-01-25,190875.62432790443,224998.2020595636,0.15165711289828854
2016-01-26,192796.02063510334,224998.2020595636,0.1431219499964511
2016-01-27,190056.21138387854,224998.2020595636,0.15529897730664927
2016-01-28,190515.32752840288,224998.2020595636,0.15325844480318157
2016-01-29,193399.7032821156,224998.2020595636,0.14043889456984615
2016-02-01,193161.5016018074,224998.2020595636,0.1414975771643193
2016-02-02,194212.2239679221,224998.2020595636,0.1368276626650179
2016-02-03,194034.13902557455,224998.2020595636,0.13761915762238827
2016-02-04,194532.57162568605,224998.2020595636,0.13540388391998087
2016-02-05,193482.31911902723,224998.2020595636,0.14007171013834674
2016-02-08,193560.39086033177,224998.2020595636,0.13972472184870757
2016-02-09,192522.615755623,224998.2020595636,0.14433709250415858
2016-02-10,193711.37838087275,224998.2020595636,0.13905366083951337
2016-02-11,193629.24331567594,224998.2020595636,0.1394187084907611
2016-02-12,192692.78979188486,224998.2020595636,0.14358075741034834
2016-02-16,192907.7039709183,224998.2020595636,0.14262557564860015
2016-02-17,192869.8898683997,224998.2020595636,0.14279363966943426
2016-02-18,194588.35221904755,224998.2020595636,0.13515596819065104
2016-02-19,194998.95698638438,224998.2020595636,0.13333104353090583
2016-02-22,195493.69809316137,224998.2020595636,0.13113217659664467
2016-02-23,195724.223633699,224998.2020595636,0.13010761045154892
2016-02-24,195521.5727128413,224998.2020595636,0.1310082884080957
2016-02-25,197240.82961634293,224998.2020595636,0.12336708555507692
2016-02-26,195951.69833549237,224998.2020595636,0.12909660369811207
2016-02-29,196056.29106862264,224998.2020595636,0.1286317433917947
2016-03-01,193922.8109386087,224998.2020595636,0.13811395307384877
2016-03-02,194554.8304164118,224998.2020595636,0.1353049551706753
2016-03-03,195964.90807812964,224998.2020595636,0.12903789326168927
2016-03-04,195225.69369578766,224998.2020595636,0.13232331676985706
2016-03-07,195391.85074522925,224998.2020595636,0.13158483509346744
2016-03-08,196180.6612153591,224998.2020595636,0.12807898276705182
2016-03-09,194990.3390962186,224998.2020595636,0.13336934557104163
2016-03-10,195517.07409532127,224998.2020595636,0.1310282824235094
2016-03-11,193565.12196727184,224998.2020595636,0.1397036945387257
2016-03-14,192986.85612732128,224998.2020595636,0.14227378547570782
2016-03-15,193081.98201083046,224998.2020595636,0.14185100039281198
2016-03-16,195029.29435219785,224998.2020595636,0.1331962097165208
2016-03-17,195118.3110144091,224998.2020595636,0.13280057694525235
2016-03-18,195191.7952956448,224998.2020595636,0.1324739775299545
2016-03-21,194062.42399604313,224998.2020595636,0.13749344563798277
2016-03-22,194093.44793562303,224998.2020595636,0.137355560360252
2016-03-23,193670.65422350334,224998.2020595636,0.13923465854081332
2016-03-24,193477.61624862486,224998.2020595636,0.1400926119516027
2016-03-28,193804.59921842781,224998.2020595636,0.13863934269518263
2016-03-29,196088.4671961562,224998.2020595636,0.12848873723779417
2016-03-30,194425.90272621549,224998.2020595636,0.1358779717059905
2016-03-31,195339.05111689714,224998.2020595636,0.1318195019834639
2016-04-01,195895.10308435388,224998.2020595636,0.1293481401576057
2016-04-04,195642.53999649323,224998.2020595636,0.1304706517401373
2016-04-05,194882.12062071648,224998.2020595636,0.13385032041666942
2016-04-06,195910.03484390347,224998.2020595636,0.12928177625152595
2016-04-07,194950.91192993845,224998.2020595636,0.13354457882143767
2016-04-08,195158.03987746465,224998.2020595636,0.1326240028095842
2016-04-11,194785.43263216794,224998.2020595636,0.13428004824410755
2016-04-12,195499.32803801645,224998.2020595636,0.13110715441956258
2016-04-13,196059.19280700717,224998.2020595636,0.12861884667369664
2016-04-14,195546.95339336837,224998.2020595636,0.1308954844821321
2016-04-15,196072.79906804484,224998.2020595636,0.12855837391918962
2016-04-18,196652.24499552735,224998.2020595636,0.12598303810682118
2016-04-19,196184.6216527684,224998.2020595636,0.12806138068235498
2016-04-20,194786.84331521342,224998.2020595636,0.13427377849158253
2016-04-21,193538.9093893778,224998.2020595636,0.13982019581586524
2016-04-22,193196.86352053288,224998.2020595636,0.14134041182521084
2016-04-25,193651.41018161768,224998.2020595636,0.13932018829931583
2016-04-26,193456.12260652366,224998.2020595636,0.14018814001318033
2016-04-27,193291.32430996394,224998.2020595636,0.1409205827396164
2016-04-28,192652.39111408163,224998.2020595636,0.14376030852423916
2016-04-29,191640.93645617575,224998.2020595636,0.14825569848134698
2016-05-02,191772.76683298446,224998.2020595636,0.14766978101355402
2016-05-03,192525.96519766183,224998.2020595636,0.14432220597614115
2016-05-04,193414.7364530196,224998.2020595636,0.14037207994303405
2016-05-05,193959.51464158675,224998.2020595636,0.13795082420151963
2016-05-06,194978.96609531558,224998.2020595636,0.13341989264563567
2016-05-09,194604.9859174413,224998.2020595636,0.13508204005148589
2016-05-10,194772.70232166367,224998.2020595636,0.13433662785402326
2016-05-11,194290.09115627792,224998.2020595636,0.13648158350685993
2016-05-12,193877.85759207996,224998.2020595636,0.1383137473216127
2016-05-13,194199.91936005396,224998.2020595636,0.13688235024809858
2016-05-16,194304.08127898237,224998.2020595636,0.13641940468686767
2016-05-17,193401.8589660022,224998.2020595636,0.14042931367601288
2016-05-18,190362.3836963419,224998.2020595636,0.15393820059972124
2016-05-19,189805.58098331818,224998.2020595636,0.15641289909920658
2016-05-20,190277.62570141148,224998.2020595636,0.15431490580960538
2016-05-23,190253.2197741061,224998.2020595636,0.1544233774644096
2016-05-24,189689.1591453891,224998.2020595636,0.15693033362474232
2016-05-25,189281.26585834875,224998.2020595636,0.15874320716464896
2016-05-26,189530.51327241395,224998.2020595636,0.15763543202785377
2016-05-27,189290.0782330761,224998.2020595636,0.1587040407417767
